2023-09-27T12:57:49.788320360Z,8
2023-09-27T15:32:19.662863777Z,7
2023-09-27T15:49:09.461671157Z,8
2023-09-27T15:54:08.935556012Z,7
2023-09-27T16:25:50.528244533Z,8
2023-09-27T16:27:51.188330172Z,8
2023-09-27T16:29:50.801524677Z,8
2023-09-27T16:31:51.403213537Z,8
2023-09-27T16:33:51.094550134Z,8
2023-09-27T16:35:50.706542659Z,8
2023-09-27T16:37:51.357863023Z,8
2023-09-27T16:39:51.004653530Z,8
2023-09-27T16:41:50.616668746Z,8
2023-09-27T16:43:51.250531752Z,8
2023-09-27T16:45:50.874183931Z,7
2023-09-27T16:47:50.439714280Z,7
2023-09-27T16:49:51.049443112Z,8
2023-09-27T16:51:50.629635556Z,8
2023-09-27T16:53:51.290828942Z,8
2023-09-27T16:55:50.914179262Z,7
2023-09-27T16:57:50.529592569Z,8
2023-09-27T16:59:51.137404756Z,8
2023-09-27T17:01:50.763223697Z,7
2023-09-27T17:03:51.390274454Z,8
2023-09-27T17:05:51.014165875Z,8
2023-09-27T17:07:50.661305386Z,8
2023-09-27T17:09:51.280069883Z,8
2023-09-27T17:11:50.897932831Z,8
2023-09-27T17:13:50.526695399Z,7
2023-09-27T17:15:51.177758235Z,7
2023-09-27T17:17:50.774192386Z,7
2023-09-27T17:19:51.390916344Z,8
2023-09-27T17:21:51.107419651Z,8
2023-09-27T17:23:50.778041768Z,8
2023-09-27T17:25:51.421838796Z,8
2023-09-27T17:27:51.035536926Z,7
2023-09-27T17:29:50.682398648Z,7
2023-09-27T17:31:51.266117593Z,7
2023-09-27T17:33:50.861085493Z,7
